"CA1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population (number of persons) 1/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
13740,"Billings, MT (Metropolitan Statistical Area)",94972,95810,98257,100254,101991,105198,107654,110368,112764,116271,117391,117733,119645,122475,125635,128301,128999,128041,125649,123581,122761,122545,124295,127568,130744,133239,135318,136818,137674,138062,139319,140150,141458,142891,144443,146238,148558,150471,152455,155110,157395,159355,160789,162883,165210,166853,168283
13780,"Binghamton, NY (Metropolitan Statistical Area)",267973,268851,270746,267509,267518,265630,268656,269063,268668,267705,266989,263639,263859,264005,263473,263182,264719,263651,262266,263797,264388,264731,265632,266571,265993,264082,260079,256702,254213,253235,252773,252189,252580,253430,252932,252605,252088,252441,252442,252527,252171,251456,250401,249157,248432,247446,246020
13820,"Birmingham-Hoover, AL (Metropolitan Statistical Area)",816723,834280,845548,852711,864085,870341,883172,895598,908642,919252,927712,930680,930227,926197,927062,931399,936926,941503,948471,951042,954416,958709,969491,980037,991884,1003186,1013634,1022434,1030425,1039523,1047440,1053306,1059082,1062966,1070886,1078204,1086318,1098818,1107256,1117101,1125271,1128879,1130905,1133993,1139018,1142823,1145647
13900,"Bismarck, ND (Metropolitan Statistical Area)",66806,67114,68027,69047,71215,73082,75660,78103,80117,81696,84232,86328,87039,88228,89961,91367,91624,91397,90400,90011,89992,90106,90902,92461,94002,94993,96355,97755,98667,99769,100303,101020,101289,102340,103201,104211,105942,107861,109742,111282,113143,115293,117137,120047,123812,126668,129517
13980,"Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)*",114132,115045,118015,120995,124637,129374,132569,134388,137116,139973,141368,141822,143481,143876,143941,145187,145916,147046,148117,150354,151489,153166,153932,155188,156096,157612,158380,159164,160219,162444,164379,165462,167434,167498,168270,169018,170990,173039,174908,176348,177535,178525,178890,179502,180836,181438,181747
14010,"Bloomington, IL (Metropolitan Statistical Area)",119602,122030,124949,130387,131804,132331,131642,133130,134758,135673,136266,137480,138131,138240,139295,139879,140360,139774,141058,142641,144167,146269,148813,150875,153557,155467,157769,159099,161099,163307,165899,167644,169505,172555,174481,175767,177015,179717,181965,183558,185265,186444,187368,189102,191271,190356,189413
14020,"Bloomington, IN (Metropolitan Statistical Area)",94038,97656,99712,103553,104311,106218,103965,105944,109821,112226,113041,115057,116537,117520,118037,117945,118146,119043,120497,122111,124856,126773,127983,130131,132395,134678,136275,137794,139271,140527,141770,142709,143650,144707,146835,148549,150096,152548,154352,156164,157840,160139,161838,162687,163272,164605,165577
14100,"Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",71469,71882,73233,74511,75213,76162,76926,77069,77452,77789,78394,78787,79211,79223,79674,79135,78679,78729,78718,79446,80226,81113,81669,82381,82802,82801,83012,83013,82914,82623,82449,82211,82592,82838,83240,83511,83718,83996,84303,84735,85385,85669,85298,85395,85593,85578,85229
14260,"Boise City, ID (Metropolitan Statistical Area)",188662,192885,202549,211579,219916,230081,236798,246322,255984,267147,275953,281376,285918,289363,292391,297051,301145,302755,303727,306455,312962,322316,335378,347646,364123,380160,395382,409471,422797,438421,452837,469017,486078,499994,512491,525975,546980,570583,590330,603218,611341,618020,627647,637653,650097,664707,676909
14460,"Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",3885892,3928508,3953760,3980347,3982918,3969705,3953504,3946719,3947472,3944294,3942625,3946114,3966836,3977211,4006648,4038686,4071845,4088650,4104797,4125293,4139484,4137302,4128150,4137692,4163698,4189180,4230795,4265564,4302696,4337751,4369743,4401256,4432132,4440034,4434723,4424956,4418046,4427356,4447838,4483141,4527220,4565410,4608426,4652342,4698356,4739385,4774321
14500,"Boulder, CO (Metropolitan Statistical Area)*",129577,133342,140808,151309,159509,166449,166670,169117,178121,183432,187125,190935,195705,200827,206440,211206,213942,215971,218024,219915,223507,226374,232846,240430,247405,254324,259520,264630,270744,277562,285901,293358,300137,279468,278768,279728,280241,284243,287428,290859,293190,295986,300671,305548,310706,313864,319372
